000001,800040
000002,202716
000004,0
000005,162978
000006,292869
000007,0
000008,69047
000009,279658
000010,88496
000011,187467
000012,124533
000014,21593
000016,88506
000017,70486
000018,336609
000019,88456
000020,10159
000021,57838
000022,55279
000023,8194
000025,22106
000026,47058
000027,337991
000028,8287
000029,0
000030,50132
000031,97863
000032,0
000034,0
000035,55488
000036,86630
000037,25878
000038,0
000039,278083
000040,101350
000042,8363
000043,52907
000045,101222
000046,63077
000048,4039
000049,34833
000050,407420
000055,88627
000056,11289
000058,57847
000059,140315
000060,158383
000061,101950
000062,355713
000063,520770
000065,111255
000066,346911
000068,108576
000069,335578
000070,18780
000078,150464
000088,233743
000089,110569
000090,164601
000096,20688
000099,0
000100,0
000150,24975
000151,95186
000153,0
000156,36342
000157,429112
000158,541674
000159,130857
000166,406078
000301,0
000333,522760
000338,221336
000400,33817
000401,736480
000402,214840
000403,15447
000404,0
000407,84845
000408,103071
000409,181968
000410,59452
000411,11289
000413,564183
000415,141284
000416,55139
000417,41836
000418,38275
000419,27897
000420,160258
000421,29448
000422,137667
000423,82545
000425,513379
000426,85759
000428,57787
000429,97662
000430,18635
000488,110189
000498,60204
000501,54926
000502,205370
000503,0
000504,63895
000505,71630
000506,0
000507,457548
000509,109575
000510,68732
000511,0
000513,15892
000514,110273
000516,306867
000517,62087
000518,65000
000519,267739
000520,116508
000521,55896
000523,32590
000524,17401
000525,44692
000526,0
000528,110351
000529,28747
000530,64570
000531,30440
000532,27668
000533,70069
000534,32314
000536,48255
000537,121265
000538,60231
000539,47548
000540,226321
000541,55059
000543,70840
000544,47810
000545,158893
000546,40164
000547,152225
000548,65027
000550,34005
000551,38000
000552,112785
000553,23659
000554,271821
000555,36150
000557,0
000558,72742
000559,113500
000560,36694
000561,72003
000563,693654
000564,36937
000565,68957
000566,68463
000567,33919
000568,138265
000570,39472
000571,0
000572,85567
000573,109180
000576,57047
000581,70779
000582,150725
000584,72885
000585,54682
000586,19923
000587,52346
000589,71779
000590,8740
000591,151448
000592,169325
000593,59054
000595,173273
000596,30209
000597,48475
000598,186245
000599,79071
000600,660143
000601,99942
000603,56325
000605,196171
000606,57916
000607,113840
000608,103824
000609,48661
000610,0
000611,0
000612,57190
000613,0
000615,568883
000616,141434
000617,38444
000619,36087
000620,35483
000622,39576
000623,68452
000625,151897
000626,25864
000627,423023
000628,29247
000630,872006
000631,41432
000632,79109
000633,55725
000635,127641
000636,86973
000637,64261
000638,49756
000639,19573
000650,78576
