                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
09:41	    4.16	     221	0	S	
09:41	    4.17	    5164	0	B	
09:41	    4.16	      30	0	S	
09:41	    4.17	      78	0	
09:41	    4.17	     117	0	S	
09:41	    4.17	     125	0	B	
09:41	    4.17	     229	0	B	
09:41	    4.16	     245	0	S	
09:41	    4.17	      12	0	B	
09:41	    4.17	      13	0	B	
09:41	    4.17	      24	0	B	
09:42	    4.17	     115	0	B	
09:42	    4.17	      15	0	B	
09:42	    4.16	     198	0	S	
09:42	    4.16	      10	0	S	
09:42	    4.16	     101	0	S	
09:42	    4.16	      42	0	S	
09:42	    4.17	    1217	0	B	
09:42	    4.17	      52	0	S	
09:42	    4.17	     474	0	S	
09:42	    4.17	      60	0	S	
09:42	    4.17	     191	0	S	
09:42	    4.17	     148	0	S	
09:42	    4.17	      15	0	S	
09:42	    4.17	     242	0	S	
09:42	    4.17	     109	0	S	
09:42	    4.18	      70	0	B	
09:43	    4.18	       3	0	B	
09:43	    4.18	      40	0	B	
09:43	    4.18	     444	0	B	
09:43	    4.18	      29	0	B	
09:43	    4.18	      59	0	B	
09:43	    4.18	     324	0	B	
09:43	    4.18	       3	0	B	
09:43	    4.18	     121	0	B	
09:43	    4.18	    2343	0	B	
09:43	    4.17	      94	0	S	
09:43	    4.18	     125	0	B	
09:43	    4.18	     304	0	B	
09:43	    4.18	       6	0	B	
09:43	    4.18	     384	0	B	
09:43	    4.17	     162	0	S	
09:43	    4.18	      24	0	B	
09:43	    4.17	      22	0	S	
09:43	    4.17	      29	0	S	
09:43	    4.17	      19	0	S	
09:44	    4.18	     129	0	B	
09:44	    4.17	     498	0	S	
09:44	    4.17	     302	0	S	
09:44	    4.18	      10	0	B	
09:44	    4.18	     232	0	B	
09:44	    4.17	     144	0	S	
09:44	    4.17	     323	0	S	
09:44	    4.17	     110	0	S	
09:44	    4.18	     209	0	B	
09:44	    4.18	     289	0	B	
09:44	    4.17	      20	0	S	
09:44	    4.17	      56	0	S	
09:44	    4.18	      35	0	B	
09:44	    4.17	       8	0	S	
09:44	    4.17	     560	0	S	
09:44	    4.17	     258	0	S	
09:45	    4.17	    1076	0	S	
09:45	    4.18	      85	0	B	
09:45	    4.17	      51	0	S	
09:45	    4.17	      20	0	S	
09:45	    4.18	     751	0	B	
09:45	    4.17	      65	0	S	
09:45	    4.18	      14	0	B	
09:45	    4.17	      23	0	S	
09:45	    4.17	      40	0	S	
09:45	    4.17	      26	0	S	
09:45	    4.17	      40	0	S	
09:45	    4.18	     310	0	B	
09:45	    4.17	     107	0	S	
09:45	    4.18	     250	0	B	
09:45	    4.18	    4378	0	B	
09:45	    4.18	     332	0	S	
09:45	    4.18	     574	0	S	
09:45	    4.18	      70	0	S	
09:46	    4.18	     297	0	S	
09:46	    4.18	     323	0	S	
09:46	    4.19	      40	0	B	
09:46	    4.18	      34	0	S	
09:46	    4.18	     110	0	S	
09:46	    4.18	      70	0	S	
09:46	    4.18	      18	0	S	
09:46	    4.19	     223	0	B	
09:46	    4.18	     466	0	S	
09:46	    4.18	      10	0	B	
09:46	    4.18	      39	0	B	
09:46	    4.19	     840	0	B	
09:46	    4.19	      37	0	B	
09:46	    4.18	      40	0	S	
09:46	    4.18	     102	0	S	
09:46	    4.18	      39	0	S	
09:46	    4.19	      21	0	B	
09:46	    4.18	     648	0	S	
09:46	    4.19	     111	0	B	
09:47	    4.19	     235	0	B	
09:47	    4.19	     144	0	B	
09:47	    4.19	      11	0	B	
09:47	    4.19	       4	0	B	
09:47	    4.19	    1010	0	B	
09:47	    4.19	     804	0	B	
09:47	    4.19	      79	0	B	
09:47	    4.18	      35	0	S	
09:47	    4.19	       1	0	B	
09:47	    4.19	    1109	0	B	
09:47	    4.19	     111	0	B	
09:47	    4.19	     201	0	B	
09:47	    4.19	      63	0	B	
09:47	    4.19	    3515	0	B	
09:47	    4.19	     100	0	S	
09:47	    4.19	      85	0	S	
09:47	    4.19	      46	0	S	
09:47	    4.19	      55	0	S	
09:47	    4.19	      85	0	S	
09:48	    4.20	     192	0	B	
09:48	    4.20	     113	0	B	
09:48	    4.19	      15	0	S	
09:48	    4.19	      50	0	S	
09:48	    4.20	     234	0	B	
09:48	    4.19	      59	0	S	
09:48	    4.20	      34	0	B	
09:48	    4.20	      17	0	B	
09:48	    4.20	     430	0	B	
09:48	    4.20	     222	0	B	
